Day,Date and Time   ,rh,temp ,temp ,rainfall,dir,wgt,spd
0 to 24 h,7/14/19 11:45,54.4,82.2,27.9,0,165,2.8224,0.9408
0 to 24 h,7/14/19 12:00,53.5,82.9,28.3,0,160,3.2928,0.4704
0 to 24 h,7/14/19 12:15,53,83.7,28.7,0,168,1.8816,0.4704
0 to 24 h,7/14/19 12:30,54.1,83.3,28.5,0,124,2.8224,0.4704
0 to 24 h,7/14/19 12:45,53.1,84.8,29.3,0,138,2.352,0.4704
0 to 24 h,7/14/19 13:00,54.3,83.9,28.8,0,166,3.2928,0.9408
0 to 24 h,7/14/19 13:15,55,84.6,29.2,0,136,2.8224,0.4704
0 to 24 h,7/14/19 13:30,53.5,86,30,0,172,1.8816,0.4704
0 to 24 h,7/14/19 13:45,53.2,86.1,30.1,0,163,1.8816,0.4704
0 to 24 h,7/14/19 14:00,54.1,86.1,30.1,0,165,2.8224,0.4704
0 to 24 h,7/14/19 14:15,54,86.3,30.2,0,186,2.8224,0.9408
0 to 24 h,7/14/19 14:30,54.3,86.3,30.2,0,180,2.8224,0.9408
0 to 24 h,7/14/19 14:45,53.3,87.4,30.8,0,176,2.352,0.9408
0 to 24 h,7/14/19 15:00,53.4,87.2,30.7,0,170,2.8224,0.9408
0 to 24 h,7/14/19 15:15,51.4,88.9,31.6,0,168,1.8816,0.4704
0 to 24 h,7/14/19 15:30,53.2,88.1,31.2,0,159,2.8224,0.4704
0 to 24 h,7/14/19 15:45,53.3,87.5,30.8,0,223,2.8224,0.9408
0 to 24 h,7/14/19 16:00,52.4,87.5,30.8,0,220,2.8224,0.9408
0 to 24 h,7/14/19 16:15,52.2,87.5,30.8,0,235,1.8816,0.4704
0 to 24 h,7/14/19 16:30,53.2,87.6,30.9,0,225,2.352,0.9408
0 to 24 h,7/14/19 16:45,54.8,87.1,30.6,0,230,2.352,0.9408
0 to 24 h,7/14/19 17:00,54.4,87.2,30.7,0,227,2.352,0.4704
0 to 24 h,7/14/19 17:15,54.3,88.2,31.2,0,186,2.352,0.4704
0 to 24 h,7/14/19 17:30,54.8,87.6,30.9,0,200,1.4112,0.01
0 to 24 h,7/14/19 17:45,53.3,88.4,31.3,0,180,1.8816,0.4704
0 to 24 h,7/14/19 18:00,52.2,89.2,31.8,0,175,2.352,0.4704
0 to 24 h,7/14/19 18:15,52.6,89.3,31.8,0,155,1.8816,0.01
0 to 24 h,7/14/19 18:30,54.9,87.7,30.9,0,162,1.4112,0.01
0 to 24 h,7/14/19 18:45,56,86.7,30.4,0,175,3.2928,0.4704
0 to 24 h,7/14/19 19:00,58.2,85.8,29.9,0,172,1.4112,0.01
0 to 24 h,7/14/19 19:15,57.9,87.1,30.6,0,176,1.4112,0.01
0 to 24 h,7/14/19 19:30,58.8,87.1,30.6,0,184,0.9408,0.01
0 to 24 h,7/14/19 19:45,61.6,85.3,29.6,0,132,0.4704,0.01
0 to 24 h,7/14/19 20:00,68.3,82,27.8,0,112,0.9408,0.01
0 to 24 h,7/14/19 20:15,71.3,80.9,27.2,0,114,0.4704,0.01
0 to 24 h,7/14/19 20:30,73.6,79.6,26.4,0,114,0.9408,0.01
0 to 24 h,7/14/19 20:45,76.2,78.3,25.7,0,136,1.4112,0.01
0 to 24 h,7/14/19 21:00,74.5,77.9,25.5,0,124,1.8816,0.01
0 to 24 h,7/14/19 21:15,70.9,78,25.6,0,179,1.8816,0.4704
0 to 24 h,7/14/19 21:30,71.5,77.6,25.3,0,165,2.352,0.01
0 to 24 h,7/14/19 21:45,72.9,76.7,24.8,0,186,1.4112,0.01
0 to 24 h,7/14/19 22:00,74,76.3,24.6,0,170,1.4112,0.01
0 to 24 h,7/14/19 22:15,74.7,75.7,24.3,0,176,1.4112,0.01
0 to 24 h,7/14/19 22:30,75.5,75.3,24.1,0,173,2.352,0.01
0 to 24 h,7/14/19 22:45,76.6,74.6,23.7,0,183,1.8816,0.01
0 to 24 h,7/14/19 23:00,77.9,74.1,23.4,0,177,1.4112,0.01
0 to 24 h,7/14/19 23:15,78.9,73.6,23.1,0,172,0.9408,0.01
0 to 24 h,7/14/19 23:30,80.8,72.9,22.7,0,155,0.9408,0.01
0 to 24 h,7/14/19 23:45,80.6,72.7,22.6,0,160,1.4112,0.01
0 to 24 h,7/15/19 0:00,82.5,72.1,22.3,0,177,0.9408,0.01
0 to 24 h,7/15/19 0:15,83.5,71.6,22,0,166,0.9408,0.01
0 to 24 h,7/15/19 0:30,84.2,71.4,21.9,0,168,0.9408,0.01
0 to 24 h,7/15/19 0:45,84.8,71.2,21.8,0,172,1.4112,0.01
0 to 24 h,7/15/19 1:00,85.7,71,21.7,0,163,1.8816,0.01
0 to 24 h,7/15/19 1:15,87.1,70.6,21.4,0,176,1.4112,0.01
0 to 24 h,7/15/19 1:30,87.5,70.4,21.3,0,183,0.9408,0.01
0 to 24 h,7/15/19 1:45,87.8,70.1,21.2,0,155,1.4112,0.01
0 to 24 h,7/15/19 2:00,88.8,69.7,20.9,0,166,0.9408,0.01
0 to 24 h,7/15/19 2:15,89.8,69.5,20.8,0,153,0.4704,0.01
0 to 24 h,7/15/19 2:30,90.7,69.2,20.7,0,166,0.9408,0.01
0 to 24 h,7/15/19 2:45,91.3,69.1,20.6,0,160,0.9408,0.01
0 to 24 h,7/15/19 3:00,91.1,69.3,20.7,0,163,1.4112,0.4704
0 to 24 h,7/15/19 3:15,91.3,69.4,20.8,0,169,1.4112,0.01
0 to 24 h,7/15/19 3:30,92,69.1,20.6,0,163,1.4112,0.01
0 to 24 h,7/15/19 3:45,91.9,69.2,20.7,0,166,1.8816,0.4704
0 to 24 h,7/15/19 4:00,92.1,69.2,20.7,0,162,1.4112,0.4704
0 to 24 h,7/15/19 4:15,92.5,69.2,20.7,0,170,1.8816,0.4704
0 to 24 h,7/15/19 4:30,92.4,69.5,20.8,0,159,1.4112,0.01
0 to 24 h,7/15/19 4:45,92.6,69.6,20.9,0,177,1.4112,0.01
0 to 24 h,7/15/19 5:00,93.3,69.3,20.7,0,190,0.9408,0.01
0 to 24 h,7/15/19 5:15,95.1,68.4,20.2,0,208,0.9408,0.01
0 to 24 h,7/15/19 5:30,95.3,68.7,20.4,0,211,0.9408,0.01
0 to 24 h,7/15/19 5:45,95.7,68.8,20.4,0,214,0.9408,0.4704
0 to 24 h,7/15/19 6:00,95.4,69.3,20.7,0,217,1.4112,0.4704
0 to 24 h,7/15/19 6:15,94.8,70,21.1,0,225,1.4112,0.4704
0 to 24 h,7/15/19 6:30,94.7,70.1,21.2,0,217,1.4112,0.4704
0 to 24 h,7/15/19 6:45,94.1,70.7,21.5,0,213,2.352,0.9408
0 to 24 h,7/15/19 7:00,93.4,71.2,21.8,0,214,2.8224,1.4112
0 to 24 h,7/15/19 7:15,92.5,71.7,22.1,0,225,2.8224,1.4112
0 to 24 h,7/15/19 7:30,91.2,72.4,22.4,0,221,3.2928,1.4112
0 to 24 h,7/15/19 7:45,90,73,22.8,0,223,3.7632,1.8816
0 to 24 h,7/15/19 8:00,88.6,73.9,23.3,0,235,3.7632,1.4112
0 to 24 h,7/15/19 8:15,85.9,75.4,24.1,0,244,3.7632,1.8816
0 to 24 h,7/15/19 8:30,84.7,76,24.4,0,232,4.2336,1.8816
0 to 24 h,7/15/19 8:45,81.3,78,25.6,0,241,4.704,2.352
0 to 24 h,7/15/19 9:00,80.1,78.5,25.8,0,237,4.2336,2.352
0 to 24 h,7/15/19 9:15,81.4,77.7,25.4,0,234,4.2336,2.352
0 to 24 h,7/15/19 9:30,80.1,78.4,25.8,0,238,4.2336,2.352
0 to 24 h,7/15/19 9:45,78.7,79,26.1,0,241,5.1744,2.8224
0 to 24 h,7/15/19 10:00,77.4,79,26.1,0,238,4.2336,2.352
0 to 24 h,7/15/19 10:15,77.8,78.6,25.9,0,237,5.1744,2.8224
0 to 24 h,7/15/19 10:30,79.1,78.3,25.7,0,245,4.704,1.8816
0 to 24 h,7/15/19 10:45,79.4,78,25.6,0,240,4.704,2.352
0 to 24 h,7/15/19 11:00,79.2,78.3,25.7,0,235,4.704,2.352
0 to 24 h,7/15/19 11:15,78.2,79.5,26.4,0,237,3.7632,1.8816
0 to 24 h,7/15/19 11:30,77,80.8,27.1,0,225,3.7632,2.352
0 to 24 h,7/15/19 11:45,76,80.9,27.2,0,223,5.1744,2.8224
24 to 48 h,7/15/19 12:00,75.2,81.1,27.3,0,231,4.2336,2.352
24 to 48 h,7/15/19 12:15,73.2,82.1,27.8,0,228,4.2336,2.352
24 to 48 h,7/15/19 12:30,71.1,82.9,28.3,0,228,5.1744,2.8224
24 to 48 h,7/15/19 12:45,68.2,83.7,28.7,0,232,6.1152,3.7632
24 to 48 h,7/15/19 13:00,68.1,84.5,29.2,0,223,6.5856,2.8224
24 to 48 h,7/15/19 13:15,68.3,84.3,29.1,0,210,5.1744,2.8224
24 to 48 h,7/15/19 13:30,66.5,85.4,29.7,0,218,6.5856,3.2928
24 to 48 h,7/15/19 13:45,64.5,85.5,29.7,0,221,7.056,3.7632
24 to 48 h,7/15/19 14:00,63.9,86.2,30.1,0,217,6.1152,3.2928
24 to 48 h,7/15/19 14:15,63.6,85,29.4,0,223,5.6448,2.8224
24 to 48 h,7/15/19 14:30,61.7,84.7,29.3,0,221,6.1152,3.2928
24 to 48 h,7/15/19 14:45,59,85,29.4,0,218,7.056,3.7632
24 to 48 h,7/15/19 15:00,57.6,86.3,30.2,0,228,5.6448,3.2928
24 to 48 h,7/15/19 15:15,57,85.8,29.9,0,238,7.056,3.7632
24 to 48 h,7/15/19 15:30,56.4,86.2,30.1,0,221,6.5856,3.7632
24 to 48 h,7/15/19 15:45,56.8,86.2,30.1,0,237,7.056,3.7632
24 to 48 h,7/15/19 16:00,56.9,86.1,30.1,0,231,7.5264,3.7632
24 to 48 h,7/15/19 16:15,55.5,85.5,29.7,0,237,7.5264,4.2336
24 to 48 h,7/15/19 16:30,56.8,85.7,29.8,0,235,6.5856,3.7632
24 to 48 h,7/15/19 16:45,57,85.5,29.7,0,242,7.056,4.704
24 to 48 h,7/15/19 17:00,56.6,85.5,29.7,0,235,7.056,4.2336
24 to 48 h,7/15/19 17:15,55.9,85.4,29.7,0,230,7.056,4.2336
24 to 48 h,7/15/19 17:30,56.8,85.5,29.7,0,235,6.5856,4.2336
24 to 48 h,7/15/19 17:45,56.8,85.3,29.6,0,237,7.056,3.7632
24 to 48 h,7/15/19 18:00,56.3,85,29.4,0,235,7.056,4.2336
24 to 48 h,7/15/19 18:15,57.3,85,29.4,0,237,5.6448,3.7632
24 to 48 h,7/15/19 18:30,58.2,84,28.9,0,225,5.1744,3.2928
24 to 48 h,7/15/19 18:45,58.2,83.7,28.7,0,228,5.6448,3.2928
24 to 48 h,7/15/19 19:00,59.3,83.5,28.6,0,232,4.704,2.352
24 to 48 h,7/15/19 19:15,60.2,83.1,28.4,0,227,5.6448,2.352
24 to 48 h,7/15/19 19:30,60.1,82.3,27.9,0,227,6.5856,2.8224
24 to 48 h,7/15/19 19:45,61.7,81.6,27.6,0,235,4.704,2.352
24 to 48 h,7/15/19 20:00,64.9,80.4,26.9,0,234,2.8224,1.4112
24 to 48 h,7/15/19 20:15,68.6,78.7,25.9,0,228,2.352,0.9408
24 to 48 h,7/15/19 20:30,70.9,77.7,25.4,0,231,2.352,0.9408
24 to 48 h,7/15/19 20:45,73.1,77,25,0,237,1.8816,0.4704
24 to 48 h,7/15/19 21:00,77.3,75.5,24.2,0,220,0.9408,0.4704
24 to 48 h,7/15/19 21:15,78.8,75,23.9,0,221,0.9408,0.4704
24 to 48 h,7/15/19 21:30,79.4,74.7,23.7,0,223,1.4112,0.4704
24 to 48 h,7/15/19 21:45,74.8,76.2,24.6,0,224,2.352,0.9408
24 to 48 h,7/15/19 22:00,74.2,76.3,24.6,0,214,2.8224,0.9408
24 to 48 h,7/15/19 22:15,74.2,76.5,24.7,0,217,4.2336,1.8816
24 to 48 h,7/15/19 22:30,73.4,76.8,24.9,0,220,5.1744,3.2928
24 to 48 h,7/15/19 22:45,73.5,76.5,24.7,0,217,4.2336,2.352
24 to 48 h,7/15/19 23:00,75.1,76,24.4,0,214,3.7632,1.8816
24 to 48 h,7/15/19 23:15,75.2,75.6,24.2,0,218,5.1744,2.352
24 to 48 h,7/15/19 23:30,76,75.1,23.9,0,218,3.7632,2.352
24 to 48 h,7/15/19 23:45,76.9,74.6,23.7,0,225,4.2336,1.8816
24 to 48 h,7/16/19 0:00,77.3,74.3,23.5,0,221,3.7632,1.8816
24 to 48 h,7/16/19 0:15,77.2,73.9,23.3,0,214,3.7632,1.8816
24 to 48 h,7/16/19 0:30,78.2,73.1,22.8,0,221,3.2928,0.9408
24 to 48 h,7/16/19 0:45,80,72.2,22.3,0,224,2.352,0.9408
24 to 48 h,7/16/19 1:00,82.3,71.3,21.8,0,217,1.8816,0.9408
24 to 48 h,7/16/19 1:15,84,70.7,21.5,0,220,1.8816,0.9408
24 to 48 h,7/16/19 1:30,85.7,70,21.1,0,218,1.4112,0.4704
24 to 48 h,7/16/19 1:45,86,70,21.1,0,237,1.4112,0.4704
24 to 48 h,7/16/19 2:00,84.8,70.6,21.4,0,255,1.8816,0.4704
24 to 48 h,7/16/19 2:15,85.7,70.2,21.2,0,218,2.352,0.9408
24 to 48 h,7/16/19 2:30,85.5,70,21.1,0,201,3.7632,1.8816
24 to 48 h,7/16/19 2:45,84.8,70,21.1,0,194,6.5856,3.2928
24 to 48 h,7/16/19 3:00,84.3,70,21.1,0,204,6.1152,3.7632
24 to 48 h,7/16/19 3:15,83.1,70.2,21.2,0,204,7.056,4.2336
24 to 48 h,7/16/19 3:30,83.1,70.3,21.3,0,199,6.1152,4.2336
24 to 48 h,7/16/19 3:45,82.5,70.4,21.3,0,207,6.1152,3.7632
24 to 48 h,7/16/19 4:00,83.4,70,21.1,0,241,5.6448,2.8224
24 to 48 h,7/16/19 4:15,84,69.7,20.9,0,232,5.1744,2.8224
24 to 48 h,7/16/19 4:30,85.7,68.9,20.5,0,249,3.7632,1.8816
24 to 48 h,7/16/19 4:45,87.3,68.3,20.2,0,251,3.7632,1.8816
24 to 48 h,7/16/19 5:00,88.7,67.9,19.9,0,259,2.352,0.9408
24 to 48 h,7/16/19 5:15,90.7,67.1,19.5,0,241,1.4112,0.9408
24 to 48 h,7/16/19 5:30,91.3,66.9,19.4,0,238,2.352,0.4704
24 to 48 h,7/16/19 5:45,91.9,66.7,19.3,0,211,1.4112,0.4704
24 to 48 h,7/16/19 6:00,91,67.4,19.7,0,231,1.8816,0.9408
24 to 48 h,7/16/19 6:15,90.2,68.1,20.1,0,221,2.352,0.9408
24 to 48 h,7/16/19 6:30,88.8,69,20.6,0,207,2.8224,0.9408
24 to 48 h,7/16/19 6:45,87.7,69.6,20.9,0,228,3.2928,1.4112
24 to 48 h,7/16/19 7:00,87.4,70,21.1,0,235,3.2928,1.4112
24 to 48 h,7/16/19 7:15,85.6,71,21.7,0,247,3.2928,1.8816
24 to 48 h,7/16/19 7:30,84.9,71.6,22,0,251,3.2928,1.4112
24 to 48 h,7/16/19 7:45,83.8,72.4,22.4,0,242,2.8224,1.4112
24 to 48 h,7/16/19 8:00,82.8,73.1,22.8,0,244,2.8224,1.4112
24 to 48 h,7/16/19 8:15,82.1,73.4,23,0,256,3.2928,1.8816
24 to 48 h,7/16/19 8:30,81.1,74.2,23.4,0,265,2.8224,1.4112
24 to 48 h,7/16/19 8:45,79.9,74.9,23.8,0,266,2.8224,1.4112
24 to 48 h,7/16/19 9:00,78.1,75.7,24.3,0,262,3.7632,1.4112
24 to 48 h,7/16/19 9:15,76.9,76.2,24.6,0,254,2.8224,1.4112
24 to 48 h,7/16/19 9:30,75.5,77,25,0,247,3.7632,1.4112
24 to 48 h,7/16/19 9:45,74.7,77.6,25.3,0,238,3.2928,1.4112
24 to 48 h,7/16/19 10:00,74.2,78.1,25.6,0,249,3.2928,1.4112
24 to 48 h,7/16/19 10:15,73.4,78.4,25.8,0,240,3.2928,1.4112
24 to 48 h,7/16/19 10:30,73,79.3,26.3,0,249,3.7632,0.9408
24 to 48 h,7/16/19 10:45,72.2,79.8,26.6,0,252,3.2928,1.4112
24 to 48 h,7/16/19 11:00,71.7,80,26.7,0,242,2.8224,0.9408
24 to 48 h,7/16/19 11:15,71.8,80.5,26.9,0,238,3.2928,0.9408
24 to 48 h,7/16/19 11:30,70.4,81.7,27.6,0,221,2.352,0.9408
24 to 48 h,7/16/19 11:45,70.9,81.7,27.6,0,254,3.2928,0.9408
48 to 72 h,7/16/19 12:00,70.6,81.6,27.6,0,227,3.2928,0.9408
48 to 72 h,7/16/19 12:15,69,82.9,28.3,0,232,2.8224,0.9408
48 to 72 h,7/16/19 12:30,66.1,83.7,28.7,0,240,2.8224,0.9408
48 to 72 h,7/16/19 12:45,65,84.3,29.1,0,265,3.2928,0.9408
48 to 72 h,7/16/19 13:00,64.2,84.4,29.1,0,258,2.352,0.9408
48 to 72 h,7/16/19 13:15,61.7,85.3,29.6,0,237,2.352,0.4704
48 to 72 h,7/16/19 13:30,60,85.6,29.8,0,292,2.352,0.4704
48 to 72 h,7/16/19 13:45,60.4,85.5,29.7,0,189,2.8224,0.4704
48 to 72 h,7/16/19 14:00,59.5,85.8,29.9,0,227,2.352,0.4704
48 to 72 h,7/16/19 14:15,56.3,88.3,31.3,0,256,1.4112,0.01
48 to 72 h,7/16/19 14:30,55.3,88.9,31.6,0,242,1.8816,0.4704
48 to 72 h,7/16/19 14:45,58.5,86.6,30.3,0,283,1.8816,0.4704
48 to 72 h,7/16/19 15:00,57.5,86.7,30.4,0,254,1.4112,0.01
48 to 72 h,7/16/19 15:15,53.3,89.2,31.8,0,184,0.9408,0.01
48 to 72 h,7/16/19 15:30,56.5,88.9,31.6,0,217,2.8224,0.4704
48 to 72 h,7/16/19 15:45,58.7,86.9,30.5,0,259,1.8816,0.4704
48 to 72 h,7/16/19 16:00,60.6,86.2,30.1,0,252,1.4112,0.01
48 to 72 h,7/16/19 16:15,60.6,85.2,29.6,0,323,2.352,0.01
48 to 72 h,7/16/19 16:30,61.7,85.4,29.7,0,269,0.9408,0.01
48 to 72 h,7/16/19 16:45,61.6,86.5,30.3,0,249,1.8816,0.01
48 to 72 h,7/16/19 17:00,57.9,88.2,31.2,0,225,1.4112,0.01
48 to 72 h,7/16/19 17:15,58.3,88.2,31.2,0,232,1.8816,0.4704
48 to 72 h,7/16/19 17:30,58.7,88,31.1,0,249,1.8816,0.4704
48 to 72 h,7/16/19 17:45,57.2,88.2,31.2,0,248,0.9408,0.01
48 to 72 h,7/16/19 18:00,59.2,87.8,31,0,249,2.352,0.4704
48 to 72 h,7/16/19 18:15,57.8,88.2,31.2,0,241,1.4112,0.01
48 to 72 h,7/16/19 18:30,64.9,84.7,29.3,0,252,0.9408,0.01
48 to 72 h,7/16/19 18:45,68.2,83.7,28.7,0,252,0.9408,0.01
48 to 72 h,7/16/19 19:00,71.6,82.6,28.1,0,251,0.4704,0.01
48 to 72 h,7/16/19 19:15,75,81.4,27.4,0,252,0.4704,0.01
48 to 72 h,7/16/19 19:30,75.8,81,27.2,0,251,0.4704,0.01
48 to 72 h,7/16/19 19:45,77.7,80.2,26.8,0,251,0.9408,0.01
48 to 72 h,7/16/19 20:00,79.8,79.6,26.4,0,251,0.4704,0.01
48 to 72 h,7/16/19 20:15,81.9,79,26.1,0,251,0.4704,0.01
48 to 72 h,7/16/19 20:30,75.4,79.2,26.2,0,303,2.352,0.4704
48 to 72 h,7/16/19 20:45,72,77.7,25.4,0,292,1.4112,0.4704
48 to 72 h,7/16/19 21:00,71.2,76.3,24.6,0,289,2.8224,0.01
48 to 72 h,7/16/19 21:15,72,75.4,24.1,0,297,1.4112,0.01
48 to 72 h,7/16/19 21:30,74.5,74.8,23.8,0,338,1.4112,0.01
48 to 72 h,7/16/19 21:45,72,75.8,24.3,0,134,3.7632,0.4704
48 to 72 h,7/16/19 22:00,71.5,76.6,24.8,0,90,2.352,0.4704
48 to 72 h,7/16/19 22:15,78.9,75.6,24.2,0,49,1.4112,0.4704
48 to 72 h,7/16/19 22:30,86.8,73.8,23.2,0,38,0.4704,0.01
48 to 72 h,7/16/19 22:45,85.2,73.2,22.9,0.01,91,0.4704,0.01
48 to 72 h,7/16/19 23:00,90.7,72.3,22.4,0,275,0.9408,0.01
48 to 72 h,7/16/19 23:15,91.5,72.3,22.4,0,340,0.9408,0.01
48 to 72 h,7/16/19 23:30,91.8,72.2,22.3,0,306,1.4112,0.4704
48 to 72 h,7/16/19 23:45,91.1,71.9,22.2,0,295,2.352,0.9408
48 to 72 h,7/17/19 0:00,91,71.2,21.8,0,245,1.4112,0.01
48 to 72 h,7/17/19 0:15,90.8,70.5,21.4,0,258,1.8816,0.4704
48 to 72 h,7/17/19 0:30,89.9,70,21.1,0,292,2.352,0.9408
48 to 72 h,7/17/19 0:45,91.4,69.2,20.7,0.01,299,2.8224,0.9408
48 to 72 h,7/17/19 1:00,92.8,68.9,20.5,0.01,289,2.8224,0.9408
48 to 72 h,7/17/19 1:15,91.8,68.4,20.2,0.01,278,3.7632,1.8816
48 to 72 h,7/17/19 1:30,92.6,67.7,19.8,0,290,3.7632,1.8816
48 to 72 h,7/17/19 1:45,92.8,67.4,19.7,0,292,3.7632,1.8816
48 to 72 h,7/17/19 2:00,93.1,67.2,19.6,0,310,3.2928,1.4112
48 to 72 h,7/17/19 2:15,93.4,67.1,19.5,0,300,2.8224,0.9408
48 to 72 h,7/17/19 2:30,93.9,67,19.4,0,314,2.352,0.4704
48 to 72 h,7/17/19 2:45,94.1,66.9,19.4,0,316,1.4112,0.01
48 to 72 h,7/17/19 3:00,94.6,66.8,19.3,0,316,0.9408,0.01
48 to 72 h,7/17/19 3:15,94.7,67,19.4,0,297,1.4112,0.4704
48 to 72 h,7/17/19 3:30,95.7,66.9,19.4,0,336,2.8224,0.4704
48 to 72 h,7/17/19 3:45,95.4,67.4,19.7,0,289,2.352,0.4704
48 to 72 h,7/17/19 4:00,94,67.7,19.8,0,276,1.4112,0.01
48 to 72 h,7/17/19 4:15,94.1,67.7,19.8,0,360,0.4704,0.01
48 to 72 h,7/17/19 4:30,93.5,67.8,19.9,0,312,0.9408,0.01
48 to 72 h,7/17/19 4:45,93.6,67.7,19.8,0,317,0.9408,0.01
48 to 72 h,7/17/19 5:00,94.9,67.3,19.6,0,338,0.9408,0.01
48 to 72 h,7/17/19 5:15,95.5,67.1,19.5,0,336,0.4704,0.01
48 to 72 h,7/17/19 5:30,95.1,67,19.4,0,336,0.4704,0.01
48 to 72 h,7/17/19 5:45,94.2,67,19.4,0,333,0.4704,0.01
48 to 72 h,7/17/19 6:00,94.2,67,19.4,0,331,0.9408,0.01
48 to 72 h,7/17/19 6:15,94.1,67.2,19.6,0,343,0.9408,0.01
48 to 72 h,7/17/19 6:30,93.8,67.5,19.7,0,103,1.4112,0.4704
48 to 72 h,7/17/19 6:45,93.3,68.1,20.1,0,327,0.9408,0.01
48 to 72 h,7/17/19 7:00,90.4,70.2,21.2,0,232,1.8816,0.4704
48 to 72 h,7/17/19 7:15,89.4,71.2,21.8,0,242,2.352,0.9408
48 to 72 h,7/17/19 7:30,88.4,71.9,22.2,0,258,2.352,0.9408
48 to 72 h,7/17/19 7:45,86.7,72.8,22.7,0,314,2.352,1.4112
48 to 72 h,7/17/19 8:00,86.4,73.6,23.1,0,166,2.352,1.4112
48 to 72 h,7/17/19 8:15,86.6,74.5,23.6,0,292,2.352,0.9408
48 to 72 h,7/17/19 8:30,86.3,75.3,24.1,0,203,2.352,1.4112
48 to 72 h,7/17/19 8:45,85.7,76.4,24.7,0,160,2.8224,0.9408
48 to 72 h,7/17/19 9:00,85,77.4,25.2,0,279,2.8224,0.9408
48 to 72 h,7/17/19 9:15,82.2,78.5,25.8,0,104,1.8816,0.4704
48 to 72 h,7/17/19 9:30,79.1,79.3,26.3,0.01,48,2.352,0.4704
48 to 72 h,7/17/19 9:45,77.1,80.3,26.8,0,38,1.4112,0.01
48 to 72 h,7/17/19 10:00,76.3,81.6,27.6,0,46,1.8816,0.4704
48 to 72 h,7/17/19 10:15,75.9,82,27.8,0,42,1.8816,0.4704
48 to 72 h,7/17/19 10:30,73.7,83,28.3,0,59,1.8816,0.01
48 to 72 h,7/17/19 10:45,71.7,83.9,28.8,0,83,1.4112,0.01
48 to 72 h,7/17/19 11:00,72,83.4,28.6,0,63,1.4112,0.01
48 to 72 h,7/17/19 11:15,71.5,84.2,29,0,79,1.4112,0.01
48 to 72 h,7/17/19 11:30,67.3,86.5,30.3,0,138,1.4112,0.01
48 to 72 h,7/17/19 11:45,67.5,86.1,30.1,0,107,2.352,0.4704